,Club,ID,Nationality,Overall,Potential,Special,Value,Wage,name
9127,Puebla,214613,Colombia,66,67,1724,750000.0,3000.0,F. Micolta
9128,Jönköpings Södra IF,231509,Sweden,66,75,933,750000.0,1000.0,A. Cajtoft
9129,CF Os Belenenses,234837,Portugal,66,76,1682,1000000.0,2000.0,Benny
9130,CD Los Millionarios Bogota,226646,Colombia,66,66,1553,500000.0,1000.0,F. Banguero
9131,Yokohama F. Marinos,232790,Japan,66,66,954,400000.0,2000.0,H. Iikura
9132,,240982,Venezuela,66,73,1737,0.0,0.0,J. Moreno
9133,VVV-Venlo,200535,Australia,66,71,1808,850000.0,3000.0,T. Antonis
9134,Hansa Rostock,201815,Germany,66,69,1626,675000.0,1000.0,J. Riedel
9135, SSV Jahn Regensburg,208983,Germany,66,67,1838,600000.0,3000.0,O. Hein
9136,Alanyaspor,234839,Turkey,66,66,1687,475000.0,4000.0,T. Yalçıner
9137,Bolton Wanderers,177495,England,66,66,1726,600000.0,10000.0,C. Taylor
9138,Randers FC,201304,Denmark,66,67,1818,775000.0,6000.0,B. Kadrii
9139,Sint-Truidense VV,225368,Senegal,66,72,1441,900000.0,10000.0,B. Gueye
9140,Curicó Unido,160088,Chile,66,66,1796,500000.0,1000.0,S. Adelos
9141,Gençlerbirliği SK,234840,Montenegro,66,68,1610,650000.0,5000.0,A. Šćekić
9142,Cruz Azul,187225,Mexico,66,66,1640,500000.0,8000.0,O. Mendoza
9143,Kalmar FF,213338,Sweden,66,66,1704,700000.0,2000.0,J. Ring
9144,SV Meppen,238938,Germany,66,70,1511,850000.0,1000.0,B. Girth
9145,Millwall,116314,England,66,66,1132,400000.0,7000.0,D. Martin
9146,Rotherham United,198235,England,66,69,1661,825000.0,3000.0,J. Taylor
9147,San Jose Earthquakes,202075,United States,66,66,1798,550000.0,2000.0,K. Sarkodie
9148,PEC Zwolle,210011,Netherlands,66,70,1751,850000.0,3000.0,T. Ondaan
9149,Perth Glory,159579,Spain,66,66,1840,200000.0,3000.0,Andreu
9150,Middlesbrough,227675,England,66,67,1675,750000.0,5000.0,M. Johnson
9151,FSV Zwickau,204380,Germany,66,74,1163,700000.0,1000.0,J. Brinkies
9152,MSV Duisburg,227932,Germany,66,74,1637,825000.0,2000.0,L. Fröde
9153,Western Sydney Wanderers,209757,Australia,66,66,1078,425000.0,2000.0,V. Janjetović
9154,Real Salt Lake,222557,United States,66,76,1435,925000.0,2000.0,J. Glad
9155,Olympique Lyonnais,234333,France,66,84,1523,1300000.0,10000.0,M. Maolida
9156,Chemnitzer FC,170589,Germany,66,66,1766,600000.0,1000.0,D. Grote
9157,Holstein Kiel,238685,Germany,66,66,1535,475000.0,4000.0,P. Herrmann
9158,Foggia,205406,Italy,66,66,1333,525000.0,2000.0,L. Martinelli
9159,Partick Thistle F.C.,155998,Czech Republic,66,66,1195,375000.0,2000.0,T. Černý
9160,Olympique Lyonnais,223070,France,66,71,1747,725000.0,12000.0,L. Nganioni
9161,SCR Altach,183646,Austria,66,66,1079,400000.0,4000.0,M. Kobras
9162,FC St. Pauli,122718,Germany,66,66,1028,260000.0,4000.0,P. Heerwagen
9163,Al Ahli,210783,Saudi Arabia,66,66,1553,475000.0,10000.0,A. Al Sahabi
9164,Wycombe Wanderers,53855,England,66,66,1743,300000.0,4000.0,N. Tyson
9165,Kawasaki Frontale,191327,Japan,66,66,1859,425000.0,3000.0,Y. Tasaka
9166,Ross County FC,208480,England,66,75,1792,975000.0,2000.0,T. Chow
9167,,218976,Ecuador,66,69,1682,0.0,0.0,M. Caicedo
9168,Sparta Rotterdam,235360,Germany,66,78,1531,1100000.0,2000.0,R. Ache
9169,Würzburger FV,170592,Germany,66,66,1740,475000.0,1000.0,S. Schuppan
9170,Real Oviedo,229217,Ghana,66,77,1527,1100000.0,3000.0,Y. Yeboah
9171,Ettifaq FC,191841,Saudi Arabia,66,66,1667,525000.0,5000.0,Y. Al Salem
9172,Al Raed,210786,Saudi Arabia,66,72,1665,875000.0,6000.0,S. Al Sawadi
9173,Ulsan Hyundai Horang-i,212066,Korea Republic,66,68,1775,650000.0,2000.0,Lee Ki Je
9174,Vissel Kobe,221794,Brazil,66,69,1674,800000.0,2000.0,Wescley
9175,Unión de Santa Fe,232546,Uruguay,66,67,1706,775000.0,4000.0,D. Zabala
9176,SV Wehen Wiesbaden,199267,Germany,66,66,1598,475000.0,1000.0,S. Ruprecht
9177,Colon de Santa Fe,215139,Argentina,66,69,1439,650000.0,3000.0,E. Olivera
9178,Wisła Kraków,105827,Poland,66,66,1626,350000.0,3000.0,P. Brożek
9179,FC SKA-Energiya Khabarovsk,239715,Russia,66,71,1776,725000.0,5000.0,P. Karasev
9180,Northampton Town,193123,Wales,66,67,1477,625000.0,3000.0,A. Taylor
9181,MSV Duisburg,204388,Germany,66,67,1742,775000.0,2000.0,A. Wiegel
9182,DSC Arminia Bielefeld,210020,Germany,66,71,1619,850000.0,2000.0,P. Weihrauch
9183,FC Sochaux-Montbéliard,213348,Cameroon,66,68,1390,625000.0,3000.0,A. Teikeu
9184,Jaguares Fútbol Club,214372,Colombia,66,66,1380,40000.0,1000.0,W. Díaz
9185,Salernitana,223332,Italy,66,72,1514,875000.0,2000.0,M. Sprocati
9186,Aalborg BK,224356,Brazil,66,73,1727,900000.0,4000.0,Yann
9187,Associação Atlética Ponte Preta,230500,Brazil,66,66,1673,725000.0,5000.0,Adryan Limeira
9188,Defensa y Justicia,231524,Argentina,66,77,1724,1100000.0,5000.0,T. Pochettino
9189,Southend United,171620,England,66,66,1751,650000.0,3000.0,A. Wordsworth
9190,Al Ahli,208229,Saudi Arabia,66,69,1713,675000.0,9000.0,A. Kurdy
9191,Temperley,226405,Argentina,66,69,1801,675000.0,3000.0,A. Arregui
9192,Gimnasia y Esgrima La Plata,231525,Argentina,66,76,1674,925000.0,3000.0,L. Perdomo
9193,Hallescher FC,238693,Germany,66,66,1715,700000.0,1000.0,M. Röser
9194,Burnley,194149,Norway,66,69,1807,800000.0,13000.0,F. Ulvestad
9195,Blackburn Rovers,200806,England,66,69,1744,675000.0,4000.0,R. Smallwood
9196,CF Reus Deportiu,221286,Portugal,66,78,1576,1100000.0,2000.0,Ricardo Vaz
9197,Nottingham Forest,227174,England,66,83,1755,1400000.0,5000.0,M. Cash
9198,Swindon Town,227686,England,66,76,1511,1000000.0,13000.0,K. Anderson
9199,Sheffield United,200807,Wales,66,70,1760,675000.0,10000.0,K. Freeman
9200,FC Carl Zeiss Jena,238951,Germany,66,66,1660,675000.0,1000.0,R. Eckardt
9201,Lillestrøm SK,49511,Norway,66,66,1519,40000.0,1000.0,F. Kippe
9202,AFC Wimbledon,190311,Montserrat,66,67,1661,750000.0,3000.0,L. Taylor
9203,Unión de Santa Fe,224104,Argentina,66,67,1734,600000.0,5000.0,D. Martínez
9204,LA Galaxy,190568,Bosnia Herzegovina,66,66,1781,600000.0,3000.0,B. Hušidić
9205,RC Deportivo de La Coruña,212841,Spain,66,71,1630,875000.0,6000.0,Luis Fernández
9206,FC Ufa,233065,Russia,66,67,966,525000.0,6000.0,G. Shelia
9207,Grasshopper Club Zürich,239209,Slovakia,66,77,1840,975000.0,5000.0,M. Faško
9208,Deportivo Toluca,210026,Mexico,66,69,1562,675000.0,4000.0,C. Calvo
9209,St. Patrick's Athletic,165226,Republic of Ireland,66,66,1760,625000.0,1000.0,O. Garvan
9210,Portsmouth,189802,Republic of Ireland,66,66,1725,525000.0,3000.0,D. McCrory
9211,C.D. Leonesa S.A.D.,222571,Spain,66,74,1658,950000.0,2000.0,Yelko Pino
9212,Malmö FF,224875,Nigeria,66,76,1728,925000.0,2000.0,B. Innocent
9213,SV Mattersburg,228971,Spain,66,66,1718,475000.0,6000.0,Jano
9214,Yokohama F. Marinos,232811,Japan,66,68,1702,775000.0,3000.0,J. Amano
9215,Chemnitzer FC,238699,Germany,66,69,933,575000.0,1000.0,K. Kunz
9216,GIF Sundsvall,197996,Sweden,66,68,1785,650000.0,1000.0,E. Larsson
9217,Stade Brestois 29,213868,Cameroon,66,72,1674,750000.0,2000.0,J. Castelletto
9218,C.D. Leonesa S.A.D.,233068,Spain,66,69,1671,650000.0,3000.0,Iván Garrido
9219,Rochdale,210029,Republic of Ireland,66,71,1657,725000.0,2000.0,J. Rafferty
9220,Kaizer Chiefs,228205,South Africa,66,67,1515,575000.0,1000.0,D. Cardoso
9221,Clube Atlético Paranaense,230509,Brazil,66,66,1624,725000.0,5000.0,Danilo Sacrio
9222,SK Rapid Wien,234093,Hungary,66,76,1820,1000000.0,5000.0,T. Szántó
9223,Cremonese,173165,Italy,66,67,1013,525000.0,1000.0,N. Ravaglia
9224,Royal Antwerp FC,241005,Uruguay,66,81,1542,1300000.0,3000.0,J. Ardaiz
9225,Tigres FC,214382,Colombia,66,66,1739,500000.0,1000.0,I. Rivas
9226,US Quevilly-Rouen,161646,France,66,66,1049,425000.0,2000.0,J. Hartock
9227,Fluminense Football Club,236142,Brazil,66,66,1528,260000.0,9000.0,Nildo Reisão
9228,SønderjyskE,172398,Iceland,66,66,1727,525000.0,4000.0,E. Jónsson
9229,Lyngby BK,205423,Kosovo,66,69,1799,800000.0,4000.0,H. Shala
9230,Jaguares Fútbol Club,212335,Colombia,66,66,1845,575000.0,1000.0,V. Zapata
9231,Atlético Bucaramanga,214383,Colombia,66,73,1554,750000.0,1000.0,H. Obando
9232,FC Red Bull Salzburg,216175,Austria,66,71,1105,625000.0,5000.0,C. Stanković
9233,Club Atlético Tigre,223855,Uruguay,66,66,1889,475000.0,4000.0,H. Pereira
9234,Atlético Clube Goianiense,230511,Brazil,66,66,1590,650000.0,5000.0,Emílio Trevões
9235,Vålerenga Fotball,209264,Norway,66,75,1664,1000000.0,2000.0,B. Finne
9236,Alanyaspor,226928,Turkey,66,66,1700,475000.0,4000.0,B. Emir
9237,Scunthorpe United,189808,Republic of Ireland,66,66,1673,675000.0,4000.0,P. Madden
9238,Wigan Athletic,213105,Wales,66,71,1707,850000.0,12000.0,L. Evans
9239,Bradford City,164465,England,66,66,1766,425000.0,4000.0,T. McMahon
9240,SCR Altach,183665,Austria,66,66,1845,625000.0,5000.0,B. Prokopič
9241,Palermo,188017,Italy,66,66,1081,90000.0,1000.0,A. Pomini
9242,Montreal Impact,192369,Argentina,66,66,1733,475000.0,2000.0,H. Bernardello
9243,Vancouver Whitecaps FC,202866,Uruguay,66,68,1643,775000.0,3000.0,N. Mezquida
9244,Cádiz C.F.,211314,Spain,66,69,1718,800000.0,3000.0,Nico Hidalgo
9245,Stade Brestois 29,215410,France,66,77,1570,975000.0,2000.0,B. Chardonnet
9246,Stabæk Fotball,220786,Norway,66,74,1573,950000.0,1000.0,M. Njie
9247,Lincoln City,238450,England,66,77,1376,975000.0,8000.0,S. Raggett
9248,CD Feirense,192114,Mexico,66,71,1610,725000.0,3000.0,A. Briseño
9249,Waasland-Beveren,228979,Belgium,66,72,1672,875000.0,3000.0,O. Myny
9250,FC Thun,199284,Switzerland,66,66,1832,600000.0,5000.0,D. Hediger
9251,Hansa Rostock,212340,Germany,66,68,1778,775000.0,1000.0,S. Wannenwetsch
9252,Borussia Mönchengladbach,225908,England,66,82,1557,1200000.0,10000.0,R. Oxford
9253,1. FC Union Berlin,152181,Austria,66,66,1101,90000.0,4000.0,M. Gspurning
9254,São Paulo Futebol Clube,230261,Brazil,66,66,1813,260000.0,7000.0,Renan Tojeiras
9255,AS Saint-Étienne,240501,Greece,66,78,1691,975000.0,4000.0,A. Katranis
9256,Partick Thistle F.C.,201078,Scotland,66,67,1692,625000.0,2000.0,C. Booth
9257,Lechia Gdańsk,152950,Poland,66,66,1658,250000.0,3000.0,G. Wojtkowiak
9258,Empoli,220534,Italy,66,80,1507,1300000.0,10000.0,S. Luperto
9259,CD America de Cali,221558,Colombia,66,68,1667,800000.0,1000.0,B. Angulo
9260,Scunthorpe United,227446,Netherlands,66,68,1517,800000.0,4000.0,K. van Veen
9261,Houston Dynamo,198007,United States,66,66,1783,500000.0,3000.0,E. Alexander
9262,US Quevilly-Rouen,199287,Ivory Coast,66,69,1712,675000.0,2000.0,E. Tié Bi
9263,Göztepe,203127,Togo,66,67,1783,750000.0,5000.0,P. Segbefia
9264,Würzburger FV,211831,Germany,66,68,1582,775000.0,1000.0,D. Mast
9265,AS Nancy Lorraine,213367,France,66,73,1677,775000.0,2000.0,L. Abergel
9266,Lobos de la BUAP,171895,Mexico,66,66,1193,425000.0,2000.0,F. Canales
9267,Cremonese,239479,Italy,66,66,1548,650000.0,2000.0,S. Scappini
9268,SCR Altach,216184,Austria,66,69,1842,800000.0,5000.0,S. Nutz
9269,OGC Nice,222840,Senegal,66,76,1624,900000.0,6000.0,R. Coly
9270,Clube Atlético Paranaense,230264,Brazil,66,66,1699,400000.0,5000.0,Dilson Calegari
9271,Wellington Phoenix,239992,Croatia,66,66,1730,475000.0,2000.0,G. Paracki
9272,Perugia,234873,Croatia,66,73,1736,900000.0,11000.0,M. Pajač
9273,FK Haugesund,182905,Norway,66,66,1696,500000.0,2000.0,V. Skjerve
9274,Stabæk Fotball,200058,Denmark,66,66,1680,675000.0,2000.0,T. Brochmann
9275,FC Admira Wacker Mödling,204922,Austria,66,71,995,625000.0,2000.0,A. Leitner
9276,FC Seoul,212346,Korea Republic,66,67,1678,725000.0,3000.0,Lee Seok Hyun
9277,SK Sturm Graz,216186,Austria,66,66,1621,675000.0,7000.0,P. Zulechner
9278,FC Anzhi Makhachkala,167546,Russia,66,66,1033,425000.0,5000.0,A. Solosin
9279,1. FC Magdeburg,238971,Germany,66,74,1558,950000.0,1000.0,M. Niemeyer
9280,Gençlerbirliği SK,205692,Senegal,66,70,1554,700000.0,5000.0,O. N'Diaye
9281,Portsmouth,210044,England,66,71,1411,725000.0,3000.0,C. Burgess
9282,Puebla,214140,Uruguay,66,66,1517,525000.0,3000.0,A. Navarro
9283,Boca Juniors,234108,Argentina,66,80,1660,1300000.0,4000.0,G. Maroni
9284,SC Braga,236924,Portugal,66,74,1447,825000.0,3000.0,Bruno Wilson
9285,Tondela,239484,Portugal,66,73,1557,925000.0,2000.0,João Vasco
9286,Plymouth Argyle,198269,England,66,67,1597,775000.0,3000.0,J. Jervis
9287,Excelsior,211581,United States,66,73,1707,775000.0,3000.0,S. O'Neill
9288,Gimnàstic de Tarragona,228221,Spain,66,74,1092,700000.0,2000.0,Bernabé
9289,Roda JC Kerkrade,183933,Netherlands,66,66,1799,350000.0,3000.0,A. van Peppen
9290,Tiburones Rojos de Veracruz,203902,Uruguay,66,68,1738,775000.0,3000.0,A. Luna
9291,Sparta Rotterdam,207742,Netherlands,66,67,1665,750000.0,4000.0,P. van Moorsel
9292,Hansa Rostock,215422,Germany,66,74,1659,800000.0,1000.0,F. Holthaus
9293,Nîmes Olympique,220030,France,66,75,1701,850000.0,1000.0,G. Paquiez
9294,Sint-Truidense VV,156542,Belgium,66,66,1779,600000.0,4000.0,J. Legear
9295,Houston Dynamo,222590,Colombia,66,72,1661,900000.0,2000.0,M. Manotas
9296,West Ham United,226430,Montenegro,66,80,1679,1300000.0,12000.0,S. Hakšabanovič
9297,CS Marítimo,237182,Mozambique,66,75,1638,1000000.0,3000.0,Gildo
9298,ADO Den Haag,200831,Netherlands,66,66,1668,650000.0,4000.0,A. El Khayati
9299,1. FC Magdeburg,238975,Germany,66,66,1722,325000.0,1000.0,M. Sowislo
9300,Fleetwood Town,186751,England,66,66,1729,675000.0,3000.0,B. Grant
9301,Wolfsberger AC,190592,Austria,66,68,1405,625000.0,4000.0,M. Sollbauer
9302,Jeonbuk Hyundai Motors,200577,Korea Republic,66,66,1796,475000.0,3000.0,Lee Yong
9303,Vitória Setúbal,216449,Portugal,66,76,1630,900000.0,2000.0,Tomás Podstawski
9304,Alianza Petrolera,221569,Colombia,66,69,1537,825000.0,1000.0,Y. Mena
9305,Puebla,187265,Mexico,66,66,1670,625000.0,3000.0,F. Acuña
9306,Korona Kielce,189569,Czech Republic,66,66,1560,500000.0,2000.0,R. Dejmek
9307,Newell's Old Boys,224386,Argentina,66,77,1668,1100000.0,4000.0,M. Tévez
9308,Göztepe,190594,Austria,66,66,1843,525000.0,5000.0,T. Kayhan
9309,Ettifaq FC,209027,Saudi Arabia,66,70,1086,575000.0,4000.0,A. Al Kassar
9310,,231299,Bolivia,66,66,1393,0.0,0.0,Marteli
9311,CD Los Millionarios Bogota,237187,Colombia,66,66,1484,500000.0,2000.0,A. Figueroa
9312,CPD Junior Barranquilla,224388,Colombia,66,78,1489,1000000.0,1000.0,J. Gómez
9313,Al Ahli,230532,Saudi Arabia,66,66,1779,700000.0,10000.0,A. Zain
9314,Arsenal de Sarandí,193412,Argentina,66,66,1857,650000.0,4000.0,D. Drocco
9315,SG Sonnenhof Großaspach,204165,Germany,66,66,1817,525000.0,1000.0,S. Schiek
9316,DSC Arminia Bielefeld,211845,Germany,66,70,1696,850000.0,2000.0,N. Quaschner
9317,VfL Osnabrück,216709,Croatia,66,66,1450,525000.0,1000.0,A. Sušac
9318,SV Mattersburg,229509,Austria,66,66,1709,575000.0,7000.0,M. Perlak
9319,Charlton Athletic,165509,Republic of Ireland,66,66,1711,650000.0,5000.0,B. Clarke
9320,Roda JC Kerkrade,192645,Germany,66,66,1621,675000.0,4000.0,D. Schahin
9321,NAC Breda,193669,Netherlands,66,66,1823,675000.0,3000.0,J. Stans
9322,SønderjyskE,198534,Denmark,66,69,1756,800000.0,4000.0,M. Rømer
9323,Atlético Clube Goianiense,236166,Brazil,66,66,1812,400000.0,4000.0,Ever Rodeiro
9324,Al Faisaly,237446,Romania,66,66,1621,625000.0,8000.0,M. Axente
9325,Real Salt Lake,198279,United States,66,66,1427,500000.0,3000.0,C. Schuler
9326,Wolfsberger AC,202375,Austria,66,70,1916,700000.0,4000.0,D. Offenbacher
9327,SV Wehen Wiesbaden,205447,Germany,66,67,1770,775000.0,1000.0,M. Kuhn
9328,Corporación Club Deportivo Tuluá,214407,Colombia,66,66,1354,90000.0,1000.0,Y. Arrechea
9329,Racing Club de Avellaneda,214663,Argentina,66,70,1719,850000.0,5000.0,S. Nagüel
9330,Atletico Nacional Medellin,219527,Colombia,66,70,1617,700000.0,1000.0,C. Mafla
9331,Northampton Town,134792,England,66,66,1787,575000.0,3000.0,D. Bowditch
9332,Oxford United,200840,England,66,73,1638,775000.0,3000.0,C. Nelson
9333,Temperley,142728,Argentina,66,66,1785,200000.0,2000.0,L. Di Lorenzo
9334,SC Paderborn 07,211848,Germany,66,69,1796,800000.0,1000.0,B. Zolinski
9335,Atlético Bucaramanga,215176,Colombia,66,66,1751,700000.0,2000.0,Y. Mejía
9336,Wycombe Wanderers,152456,England,66,66,1095,375000.0,4000.0,S. Brown
9337,Incheon United FC,221576,Korea Republic,66,71,1655,700000.0,2000.0,Kwak Hae Seong
9338,Talleres de Cordoba,162952,Argentina,66,66,1104,40000.0,2000.0,M. Caranta
9339,Clube Atlético Mineiro,236168,Brazil,66,66,1779,625000.0,10000.0,Raphael Doninho
9340,SC Fortuna Köln,238984,Germany,66,69,1545,825000.0,1000.0,M. Farrona Pulido
9341,1. FC Magdeburg,239752,Germany,66,71,1418,725000.0,1000.0,S. Schäfer
9342,SK Rapid Wien,210313,Austria,66,73,1754,900000.0,6000.0,T. Murg
9343,Molde FK,183945,Norway,66,66,1615,675000.0,3000.0,F. Brustad
9344,Hammarby IF,198538,Denmark,66,69,1802,675000.0,2000.0,B. Paulsen
9345,Stade Brestois 29,207754,France,66,70,1577,850000.0,2000.0,K. Mayi
9346,FC Carl Zeiss Jena,211850,Namibia,66,67,1680,750000.0,1000.0,M. Starke
9347,Bury,221322,Republic of Ireland,66,75,1561,875000.0,2000.0,E. O'Connell
9348,Roda JC Kerkrade,223370,Germany,66,72,1601,875000.0,3000.0,M. Engels
9349,Sparta Rotterdam,233098,Netherlands,66,80,1710,1200000.0,2000.0,S. Floranus
9350,Carpi,190602,Italy,66,68,1311,650000.0,7000.0,R. Brosco
9351,FC Rostov,194954,Russia,66,69,1609,650000.0,11000.0,V. Ustinov
9352,Milton Keynes Dons,202123,England,66,72,1797,875000.0,3000.0,C. Aneke
9353,Real Valladolid,229515,Spain,66,73,1744,750000.0,2000.0,Ángel
9354,Kawasaki Frontale,178315,Japan,66,66,1702,650000.0,3000.0,T. Morimoto
9355,FC Admira Wacker Mödling,183691,Austria,66,66,1873,475000.0,3000.0,D. Toth
9356,Jeonbuk Hyundai Motors,187275,Korea Republic,66,66,1054,425000.0,3000.0,Hong Jung Nam
9357,,211340,Bolivia,66,67,1521,0.0,0.0,G. Valverde
9358, SSV Jahn Regensburg,213644,Germany,66,69,1775,675000.0,3000.0,A. Geipl
9359,San Jose Earthquakes,214668,Argentina,66,67,1677,750000.0,3000.0,L. Barrera
9360,Unión de Santa Fe,224396,Colombia,66,69,1316,675000.0,4000.0,Y. Gómez Andrade
9361,Cork City,182156,Republic of Ireland,66,66,1801,525000.0,1000.0,G. Bolger
9362,Milton Keynes Dons,198285,England,66,72,1064,650000.0,2000.0,L. Nicholls
9363,Vancouver Whitecaps FC,201869,Canada,66,69,1778,675000.0,2000.0,R. Teibert
9364,Lorca Deportiva CF,205197,Spain,66,66,1650,650000.0,3000.0,Carlos Martínez
9365,PEC Zwolle,208781,Netherlands,66,72,1669,875000.0,3000.0,W. Marinus
9366,Temperley,214669,Argentina,66,67,1629,750000.0,4000.0,M. Figueroa
9367,Zagłębie Lubin,184461,Slovakia,66,66,1527,200000.0,3000.0,L. Guldan
9368,Lorca Deportiva CF,188813,Spain,66,75,1778,850000.0,2000.0,Adán Gurdiel
9369,Avellino,202894,Slovakia,66,70,1818,825000.0,1000.0,R. Lašík
9370,Arsenal de Sarandí,215182,Argentina,66,66,1845,675000.0,3000.0,I. Bella
9371,Djurgårdens IF,238222,Sweden,66,78,1615,975000.0,1000.0,F. Beijmo
9372,,177294,South Africa,66,66,1832,0.0,0.0,D. Furman
9373,SK Brann,193422,Norway,66,70,1630,850000.0,2000.0,T. Børven
9374,CD Los Millionarios Bogota,225423,Colombia,66,81,1545,1200000.0,1000.0,S. Vega
9375,Curicó Unido,160143,Chile,66,66,1673,725000.0,2000.0,O. Fisdono
9376,1. FC Köln,235407,Germany,66,81,1697,1300000.0,5000.0,S. Özcan
9377,PAOK Thessaloniki,240271,Greece,66,78,1637,1100000.0,1000.0,D. Limnios
9378,Preston North End,216464,Republic of Ireland,66,73,1822,900000.0,4000.0,A. Browne
9379,Willem II,221328,Netherlands,66,73,1785,775000.0,3000.0,E. Lieftink
9380,SV Darmstadt 98,228240,France,66,74,1816,825000.0,5000.0,R. Lacazette
9381,Bari,210833,Italy,66,74,1470,950000.0,8000.0,R. Improta
9382,,225681,Ecuador,66,72,1339,0.0,0.0,L. León
9383,FC Barcelona B,239249,Spain,66,85,1600,1200000.0,1000.0,Oriol Busquets
9384,Club Atlas,186513,Mexico,66,66,1826,425000.0,6000.0,D. Arreola
9385,San Jose Earthquakes,232082,United States,66,72,934,650000.0,2000.0,A. Tarbell
9386,SCR Altach,188818,Cameroon,66,66,1781,625000.0,5000.0,L. Ngwat Mahop
9387,Portland Timbers,201875,United States,66,69,1159,550000.0,2000.0,J. Attinella
9388,Gençlerbirliği SK,223635,Turkey,66,70,1668,700000.0,5000.0,M. Taş
9389,Philadelphia Union,232083,Ghana,66,75,1643,850000.0,2000.0,J. Yaro
9390,Club Atlas,190611,Mexico,66,67,1706,775000.0,7000.0,J. Barraza
9391,Necaxa,192915,Mexico,66,67,1623,750000.0,15000.0,O. Arce
9392,AFC Eskilstuna,230036,Netherlands,66,72,1782,875000.0,1000.0,F. Noor
9393,Jagiellonia Białystok,165012,Poland,66,66,1546,475000.0,3000.0,M. Wasiluk
9394,Sparta Rotterdam,233108,Netherlands,66,66,1697,625000.0,4000.0,T. Verhaar
9395,,169108,Peru,66,66,1077,0.0,0.0,L. Butrón
9396,Santiago Wanderers,160149,Chile,66,66,1624,725000.0,2000.0,C. Gazale
9397,Sagan Tosu,232853,Japan,66,66,1817,675000.0,2000.0,H. Kawano
9398,SG Dynamo Dresden,182677,Germany,66,66,1757,475000.0,4000.0,F. Müller
9399,Notts County,187797,England,66,67,1423,600000.0,5000.0,S. Brisley
9400,Burton Albion,193173,Northern Ireland,66,70,1782,700000.0,3000.0,M. Lund
9401,Urawa Red Diamonds,207510,Japan,66,66,1686,575000.0,4000.0,T. Lee
9402,Montreal Impact,223638,Romania,66,72,1445,750000.0,10000.0,D. Boldor
9403,AS Saint-Étienne,230038,France,66,79,1132,975000.0,3000.0,A. Maisonnial
9404,MSV Duisburg,238486,Brazil,66,72,1675,900000.0,2000.0,C. Oliveira Souza
9405,Śląsk Wrocław,200087,Poland,66,66,1703,525000.0,3000.0,A. Piech
9406,Bradford City,203415,England,66,73,1783,900000.0,3000.0,J. Reeves
9407,Birmingham City,211095,Denmark,66,70,1548,850000.0,8000.0,N. Brock-Madsen
9408,Curicó Unido,160151,Chile,66,66,1590,650000.0,2000.0,E. Barrega
9409,Talleres de Cordoba,235159,Argentina,66,73,1824,900000.0,4000.0,G. Ramírez
9410,Racing Club de Avellaneda,235927,Argentina,66,76,1577,1000000.0,5000.0,P. Cuadra
9411,Gillingham,169112,England,66,66,1811,600000.0,3000.0,L. Martin
9412,Barnsley,206489,England,66,69,1682,675000.0,3000.0,E. Fryers
9413,Club Atlético Tigre,215193,Argentina,66,74,1824,825000.0,3000.0,L. Menossi
9414,,178585,Wales,66,66,1724,0.0,0.0,S. Church
9415,Wycombe Wanderers,183449,Wales,66,66,1804,475000.0,5000.0,J. Jacobson
9416,Milton Keynes Dons,203930,Mali,66,68,1571,650000.0,4000.0,O. Cissé
9417,Royal Excel Mouscron,204442,France,66,66,1794,525000.0,4000.0,D. Mohamed
9418,Manchester United,233114,England,66,78,1719,1000000.0,18000.0,J. Riley
9419,Brighton & Hove Albion,240282,Czech Republic,66,75,1727,850000.0,9000.0,A. Matějů
9420,SV Wehen Wiesbaden,184474,Germany,66,67,1472,575000.0,1000.0,K. Pezzoni
9421,CD Once Caldas Manizales,225435,Colombia,66,77,1361,975000.0,1000.0,J. Moreno
9422,MSV Duisburg,229019,Germany,66,78,1572,1200000.0,2000.0,A. Engin
9423,1. FC Heidenheim,235419,Austria,66,72,1702,900000.0,5000.0,N. Dovedan
9424,US Orléans Loiret Football,215708,France,66,70,1642,700000.0,2000.0,A. Monfray
9425,FC Erzgebirge Aue,228508,Germany,66,72,1601,750000.0,2000.0,F. Kalig
9426,Oldham Athletic,230044,France,66,72,1770,875000.0,2000.0,M. Maouche
9427,F.C. Tokyo,232860,Japan,66,66,1743,700000.0,4000.0,K. Higashi
9428,IFK Göteborg,202909,Sweden,66,66,1524,375000.0,2000.0,D. Boo Wiklander
9429,Heart of Midlothian,204445,Northern Ireland,66,66,1725,500000.0,3000.0,M. Smith
9430,Cracovia,219293,Poland,66,71,1538,750000.0,2000.0,M. Helik
9431,Brescia,220829,Italy,66,69,1474,825000.0,8000.0,E. Torregrossa
9432,Motherwell,222109,Scotland,66,74,1701,950000.0,2000.0,C. Cadden
9433,,224669,China PR,66,66,1727,0.0,0.0,Yin Hongbo
9434,Karlsruher SC,229277,Germany,66,73,1599,775000.0,5000.0,J. Föhrenbach
9435,1. FC Magdeburg,181149,Canada,66,66,1652,425000.0,1000.0,A. Hainault
9436,Queens Park Rangers,217758,Northern Ireland,66,69,1604,825000.0,9000.0,C. Washington
9437,Málaga CF,226206,Spain,66,74,1740,825000.0,5000.0,Clavería
9438,Unión de Santa Fe,231070,Argentina,66,72,1717,750000.0,3000.0,B. Pittón
9439,Palermo,232350,Croatia,66,78,893,925000.0,1000.0,J. Posavec
